Listennummer,Partei,Stimmen,Stimmen-Prozent,Gemeinde-Nummer,Gemeinde-Name,Stimmberechtigte,Wahlzettel,Stimmbeteiligung
7,Die Mitte,374,5.213997,342,Thunstetten,2338,612,0.2617621899059025
8,EDU,407,5.6740556,342,Thunstetten,2338,612,0.2617621899059025
9,SVP,2075,28.927925,342,Thunstetten,2338,612,0.2617621899059025
10,FDP,735,10.246758,342,Thunstetten,2338,612,0.2617621899059025
11,jll,166,2.314234,342,Thunstetten,2338,612,0.2617621899059025
12,GLP,339,4.726056,342,Thunstetten,2338,612,0.2617621899059025
13,JGLP,66,0.9201171,342,Thunstetten,2338,612,0.2617621899059025
14,Grüne,475,6.622055,342,Thunstetten,2338,612,0.2617621899059025
15,JGOA,74,1.0316464,342,Thunstetten,2338,612,0.2617621899059025
16,ULO,54,0.7528231,342,Thunstetten,2338,612,0.2617621899059025
17,DM,108,1.5056462,342,Thunstetten,2338,612,0.2617621899059025
1,SP Frauen,83,3.329322,344,Ursenbach,725,215,0.296551724137931
2,SP Männer,48,1.9253912,344,Ursenbach,725,215,0.296551724137931
3,JUSO,8,0.3208985,344,Ursenbach,725,215,0.296551724137931
4,EVP,81,3.2490976,344,Ursenbach,725,215,0.296551724137931
5,jevp,8,0.3208985,344,Ursenbach,725,215,0.296551724137931
6,EVP E,20,0.8022463,344,Ursenbach,725,215,0.296551724137931
7,Die Mitte,270,10.830325,344,Ursenbach,725,215,0.296551724137931
8,EDU,329,13.196951,344,Ursenbach,725,215,0.296551724137931
9,SVP,1231,49.378258,344,Ursenbach,725,215,0.296551724137931
10,FDP,130,5.214601,344,Ursenbach,725,215,0.296551724137931
11,jll,9,0.36101082,344,Ursenbach,725,215,0.296551724137931
12,GLP,105,4.211793,344,Ursenbach,725,215,0.296551724137931
13,JGLP,10,0.40112314,344,Ursenbach,725,215,0.296551724137931
14,Grüne,78,3.1287606,344,Ursenbach,725,215,0.296551724137931
15,JGOA,30,1.2033695,344,Ursenbach,725,215,0.296551724137931
16,ULO,50,2.0056157,344,Ursenbach,725,215,0.296551724137931
17,DM,3,0.12033695,344,Ursenbach,725,215,0.296551724137931
1,SP Frauen,229,9.044233,345,Wynau,1033,217,0.21006776379477252
2,SP Männer,307,12.124803,345,Wynau,1033,217,0.21006776379477252
3,JUSO,38,1.5007899,345,Wynau,1033,217,0.21006776379477252
4,EVP,87,3.436019,345,Wynau,1033,217,0.21006776379477252
5,jevp,2,0.07898894,345,Wynau,1033,217,0.21006776379477252
6,EVP E,28,1.1058452,345,Wynau,1033,217,0.21006776379477252
7,Die Mitte,253,9.992101,345,Wynau,1033,217,0.21006776379477252
8,EDU,126,4.9763036,345,Wynau,1033,217,0.21006776379477252
9,SVP,756,29.85782,345,Wynau,1033,217,0.21006776379477252
10,FDP,226,8.92575,345,Wynau,1033,217,0.21006776379477252
